iter	Passed	Remaining
0	169	135796
1	172	68934
2	175	46563
3	177	35356
4	179	28542
5	181	24008
6	183	20733
7	184	18272
8	186	16356
9	187	14811
10	188	13548
11	190	12500
12	191	11606
13	193	10838
14	194	10166
15	195	9576
16	196	9056
17	197	8590
18	198	8173
19	199	7797
20	201	7458
21	202	7150
22	203	6873
23	204	6613
24	205	6376
25	207	6163
26	208	5962
27	209	5779
28	210	5605
29	211	5441
30	213	5286
31	214	5140
32	215	5004
33	216	4876
34	217	4758
35	218	4644
36	219	4536
37	221	4437
38	222	4343
39	223	4255
40	225	4169
41	226	4085
42	227	4004
43	228	3927
44	229	3853
45	230	3783
46	231	3716
47	233	3651
48	234	3589
49	235	3530
50	236	3475
51	237	3422
52	239	3371
53	240	3320
54	241	3270
55	242	3222
56	243	3176
57	244	3131
58	245	3089
59	247	3047
60	248	3007
61	249	2967
62	250	2929
63	251	2894
64	252	2858
65	254	2825
66	255	2792
67	256	2759
68	257	2728
69	258	2697
70	259	2666
71	260	2637
72	262	2609
73	263	2581
74	264	2554
75	265	2527
76	266	2502
77	267	2478
78	269	2457
79	270	2436
80	271	2413
81	273	2390
82	274	2368
83	275	2346
84	276	2325
85	277	2304
86	278	2284
87	279	2264
88	280	2244
89	282	2225
90	283	2207
91	284	2190
92	285	2173
93	287	2156
94	288	2138
95	289	2121
96	290	2104
97	291	2087
98	292	2072
99	293	2056
100	294	2041
101	296	2025
102	297	2010
103	298	1997
104	299	1983
105	300	1970
106	302	1956
107	303	1942
108	304	1928
109	305	1915
110	306	1902
111	307	1889
112	308	1876
113	309	1864
114	311	1852
115	312	1840
116	313	1829
117	314	1817
118	315	1806
119	316	1795
120	318	1784
121	319	1774
122	320	1764
123	321	1753
124	322	1743
125	323	1733
126	325	1723
127	326	1713
128	327	1704
129	329	1695
130	330	1686
131	331	1677
132	332	1668
133	333	1659
134	335	1651
135	336	1642
136	337	1633
137	338	1625
138	340	1617
139	341	1609
140	342	1601
141	343	1593
142	345	1585
143	346	1578
144	347	1570
145	348	1562
146	350	1554
147	351	1547
148	352	1539
149	353	1532
150	354	1525
151	355	1517
152	357	1510
153	358	1503
154	359	1496
155	360	1490
156	362	1484
157	363	1477
158	364	1470
159	365	1463
160	367	1457
161	368	1450
162	369	1444
163	370	1438
164	371	1431
165	373	1425
166	374	1419
167	375	1413
168	377	1408
169	378	1402
170	379	1396
171	380	1391
172	382	1385
173	383	1379
174	384	1374
175	385	1368
176	387	1362
177	388	1357
178	389	1351
179	390	1346
180	392	1341
181	393	1336
182	394	1330
183	395	1325
184	397	1320
185	398	1314
186	399	1309
187	400	1304
188	402	1299
189	403	1294
190	404	1289
191	405	1284
192	406	1279
193	408	1275
194	409	1270
195	410	1265
196	411	1260
197	413	1256
198	414	1251
199	415	1246
200	416	1241
201	418	1237
202	419	1232
203	420	1228
204	421	1224
205	423	1220
206	424	1215
207	425	1211
208	426	1206
209	428	1202
210	429	1198
211	430	1193
212	431	1189
213	432	1185
214	434	1181
215	435	1177
216	436	1172
217	437	1168
218	439	1165
219	440	1161
220	441	1157
221	442	1152
222	444	1148
223	445	1144
224	446	1141
225	447	1137
226	448	1133
227	450	1129
228	451	1125
229	452	1122
230	454	1118
231	455	1114
232	456	1110
233	457	1107
234	458	1103
235	460	1099
236	461	1096
237	462	1092
238	463	1088
239	465	1085
240	466	1081
241	467	1078
242	468	1074
243	470	1071
244	471	1067
245	472	1064
246	473	1061
247	475	1057
248	476	1053
249	477	1050
250	478	1047
251	480	1044
252	481	1040
253	482	1037
254	483	1034
255	485	1031
256	486	1028
257	488	1025
258	489	1022
259	490	1019
260	492	1016
261	493	1012
262	494	1009
263	495	1006
264	496	1003
265	498	1000
266	499	997
267	500	994
268	502	991
269	503	988
270	504	985
271	505	981
272	507	979
273	508	975
274	509	972
275	510	969
276	511	966
277	513	963
278	514	960
279	515	958
280	517	955
281	518	952
282	519	949
283	520	946
284	522	943
285	523	940
286	524	937
287	525	935
288	527	932
289	528	929
290	529	926
291	531	924
292	532	921
293	533	918
294	535	915
295	536	913
296	537	910
297	538	907
298	540	904
299	541	902
300	542	899
301	543	896
302	544	893
303	546	891
304	547	888
305	548	885
306	550	883
307	551	880
308	552	877
309	553	875
310	554	872
311	556	870
312	557	867
313	558	864
314	559	862
315	561	859
316	562	857
317	563	854
318	565	852
319	566	849
320	567	847
321	568	844
322	570	841
323	571	839
324	572	836
325	573	834
326	575	831
327	576	829
328	577	827
329	579	824
330	580	822
331	581	819
332	582	817
333	584	814
334	585	812
335	586	809
336	587	807
337	588	804
338	590	802
339	591	800
340	592	798
341	594	795
342	595	793
343	596	790
344	597	788
345	599	786
346	600	783
347	601	781
348	602	779
349	604	776
350	605	774
351	606	771
352	607	769
353	609	767
354	610	765
355	611	762
356	612	760
357	614	758
358	615	756
359	616	753
360	618	751
361	619	749
362	620	747
363	621	744
364	623	742
365	624	740
366	625	738
367	627	736
368	628	733
369	629	731
370	630	729
371	632	727
372	633	724
373	634	722
374	635	720
375	636	718
376	638	716
377	639	714
378	640	711
379	642	709
380	643	707
381	644	705
382	645	703
383	647	700
384	648	698
385	649	696
386	650	694
387	652	692
388	653	690
389	655	688
390	656	686
391	657	684
392	658	682
393	659	680
394	661	677
395	662	675
396	663	673
397	664	671
398	666	669
399	667	667
400	668	665
401	670	663
402	671	661
403	672	659
404	674	657
405	675	655
406	676	653
407	677	651
408	678	649
409	680	646
410	681	644
